Predict,Label
shrew,butterfly
mountain,cloud
seal,skunk
camel,wolf
chimpanzee,skunk
poppy,rose
whale,turtle
maple tree,palm tree
dolphin,shark
aquarium fish,cockroach
seal,clock
palm tree,skunk
chimpanzee,beaver
sea,rocket
flatfish,crocodile
porcupine,rabbit
orange,beetle
raccoon,porcupine
chair,raccoon
keyboard,ray
shrew,trout
pear,flatfish
cup,bowl
worm,snake
road,forest
whale,ray
lizard,caterpillar
lizard,crocodile
hamster,mouse
lizard,skunk
spider,crab
flatfish,whale
mountain,mouse
woman,man
man,boy
bottle,can
skunk,shrew
flatfish,trout
cattle,plain
camel,possum
mountain,cloud
shrew,beaver
willow tree,oak tree
castle,house
beetle,cockroach
lawn mower,couch
lawn mower,pickup truck
shrew,caterpillar
orange,chair
spider,cockroach
raccoon,beaver
lamp,television
lamp,bowl
shrew,dolphin
pine tree,maple tree
shrew,worm
forest,mushroom
apple,sweet pepper
flatfish,beaver
apple,sweet pepper
orange,sweet pepper
whale,shark
raccoon,possum
telephone,woman
flatfish,cockroach
spider,lobster
beaver,porcupine
keyboard,television
