Predict,Label
lobster_roll_sandwich,fish_and_chips
beef_tartare,tuna_tartare
red_velvet_cake,cup_cakes
huevos_rancheros,breakfast_burrito
beef_carpaccio,ravioli
gnocchi,lasagna
beef_carpaccio,tuna_tartare
red_velvet_cake,strawberry_shortcake
croque_madame,lasagna
gyoza,peking_duck
creme_brulee,lasagna
panna_cotta,strawberry_shortcake
scallops,takoyaki
dumplings,samosa
miso_soup,ramen
shrimp_and_grits,ceviche
miso_soup,ramen
spring_rolls,samosa
chocolate_mousse,strawberry_shortcake
frozen_yogurt,waffles
cheese_plate,cheesecake
filet_mignon,steak
bread_pudding,french_toast
shrimp_and_grits,foie_gras
takoyaki,oysters
foie_gras,ravioli
hot_and_sour_soup,pho
lobster_roll_sandwich,club_sandwich
cheese_plate,cheesecake
ceviche,ravioli
escargots,ravioli
foie_gras,hummus
lobster_bisque,chicken_curry
prime_rib,filet_mignon
seaweed_salad,caesar_salad
takoyaki,dumplings
lobster_bisque,clam_chowder
ice_cream,frozen_yogurt
spring_rolls,gyoza
huevos_rancheros,breakfast_burrito
foie_gras,strawberry_shortcake
croque_madame,lasagna
bread_pudding,apple_pie
samosa,hummus
bread_pudding,waffles
beignets,apple_pie
cheese_plate,cheesecake
foie_gras,pork_chop
chicken_quesadilla,grilled_cheese_sandwich
spaghetti_bolognese,lasagna
pad_thai,bibimbap
seaweed_salad,greek_salad
foie_gras,strawberry_shortcake
pork_chop,baby_back_ribs
filet_mignon,steak
lobster_bisque,chicken_curry
french_fries,churros
greek_salad,donuts
foie_gras,filet_mignon
pad_thai,peking_duck
breakfast_burrito,huevos_rancheros
apple_pie,gyoza
tuna_tartare,beet_salad
bread_pudding,apple_pie
cheesecake,panna_cotta
cheese_plate,cheesecake
caprese_salad,bruschetta
sushi,sashimi
shrimp_and_grits,ravioli
ravioli,gnocchi
lobster_bisque,clam_chowder
cheesecake,strawberry_shortcake
eggs_benedict,croque_madame
gnocchi,ravioli
apple_pie,chocolate_cake
pulled_pork_sandwich,hot_dog
samosa,garlic_bread
lobster_bisque,clam_chowder
beef_carpaccio,cheese_plate
bread_pudding,apple_pie
beef_carpaccio,takoyaki
pulled_pork_sandwich,club_sandwich
bread_pudding,apple_pie
paella,risotto
peking_duck,baby_back_ribs
panna_cotta,cheese_plate
chicken_curry,baby_back_ribs
hot_and_sour_soup,pho
cheese_plate,macaroni_and_cheese
hot_and_sour_soup,chicken_curry
french_toast,pancakes
french_toast,waffles
bread_pudding,tiramisu
cheesecake,cheese_plate
paella,gnocchi
foie_gras,hamburger
caprese_salad,beet_salad
crab_cakes,scallops
foie_gras,eggs_benedict
