Predict,Label
shrew,butterfly
mountain,cloud
seal,skunk
camel,wolf
chimpanzee,skunk
poppy,rose
whale,turtle
maple tree,palm tree
dolphin,shark
aquarium fish,cockroach
seal,clock
palm tree,skunk
chimpanzee,beaver
sea,rocket
flatfish,crocodile
porcupine,rabbit
orange,beetle
raccoon,porcupine
chair,raccoon
keyboard,ray
shrew,trout
pear,flatfish
cup,bowl
worm,snake
road,forest
whale,ray
lizard,caterpillar
lizard,crocodile
hamster,mouse
lizard,skunk
spider,crab
flatfish,whale
mountain,mouse
woman,man
man,boy
bottle,can
skunk,shrew
flatfish,trout
cattle,plain
camel,possum
mountain,cloud
shrew,beaver
willow tree,oak tree
castle,house
beetle,cockroach
lawn mower,couch
lawn mower,pickup truck
shrew,caterpillar
orange,chair
spider,cockroach
raccoon,beaver
lamp,television
lamp,bowl
shrew,dolphin
pine tree,maple tree
shrew,worm
forest,mushroom
apple,sweet pepper
flatfish,beaver
apple,sweet pepper
orange,sweet pepper
whale,shark
raccoon,possum
telephone,woman
flatfish,cockroach
spider,lobster
beaver,porcupine
keyboard,television
cattle,plain
sea,cloud
seal,turtle
rocket,shark
forest,pine tree
orange,baby
shark,ray
aquarium fish,crocodile
cattle,bridge
lizard,caterpillar
forest,spider
mountain,tractor
pine tree,maple tree
beetle,cockroach
beaver,flatfish
bear,hamster
beetle,cockroach
kangaroo,fox
mouse,boy
dinosaur,lizard
chimpanzee,beaver
flatfish,trout
cup,can
shrew,mouse
raccoon,wolf
tractor,pickup truck
lion,leopard
keyboard,skyscraper
bear,otter
crocodile,trout
shrew,aquarium fish
mountain,poppy
apple,sweet pepper
maple tree,leopard
keyboard,caterpillar
whale,ray
seal,raccoon
shark,dolphin
lion,leopard
shrew,crocodile
cup,can
shrew,ray
fox,lion
lawn mower,willow tree
mushroom,lamp
bee,beetle
keyboard,telephone
lizard,snail
shark,caterpillar
lizard,caterpillar
kangaroo,lion
plate,bowl
shark,ray
sea,bridge
lawn mower,cattle
lawn mower,trout
mountain,plain
crab,lobster
aquarium fish,trout
wolf,fox
orange,poppy
wolf,raccoon
mushroom,bowl
mushroom,bowl
raccoon,fox
porcupine,willow tree
orchid,butterfly
flatfish,raccoon
mountain,forest
orchid,tulip
road,train
beaver,rabbit
lamp,cup
chair,television
rabbit,chimpanzee
flatfish,crocodile
worm,dinosaur
whale,ray
lizard,crocodile
pine tree,oak tree
